d13C,d15N,Region,Pack,Individual
-19.82,10.86,2,4,22
-18.07,13.14,2,4,23
-20.7,10.05,2,4,24
-19.37,11.06,2,4,25
-21.14,9.01,2,4,26
-21.25,9.63,2,4,27
-20.98,10.25,2,4,28
-20.4,10.79,2,4,29
-19.96,11.03,2,4,30
-23.34,6.9,2,4,31
-23.06,7.57,2,4,32
-22.1,8.2,2,4,33
-20.81,9.89,2,4,34
-19.75,10.74,2,4,35
-17.73,13.66,2,5,36
-18.24,13.09,2,5,37
-18.74,12.47,2,5,38
-19.23,11.95,2,5,39
-16.78,14.29,2,5,40
-21.17,10.5,2,5,41
-20.7,10.98,2,5,42
-21.07,10.32,2,5,43
-19.07,12.14,2,5,44
-21.53,10.23,2,5,45
-18.32,12.87,2,5,46
-17.32,13.8,2,5,47
-18.39,13.03,2,5,48
-23.48,8.1,2,5,49
-22.82,9.1,2,5,50
-22.19,9.77,2,5,51
-22.35,7.31,2,6,52
-21.7,8.19,2,6,53
-22.25,7.9,2,6,54
-22.57,7.62,2,6,55
-22.08,8.18,2,6,56
-21.73,8.36,2,6,57
-17.56,13.26,2,7,58
-17.68,12.74,2,7,59
-18.43,13.16,2,7,60
-18.12,12.68,2,7,61
